dataset,model,seed,test_error,low_conflict_error,high_conflict_error,high_res_error,low_res_error,mean_conflict,mean_stability,mean_res,sef_triage_error_10,confidence_triage_error_10,sef_triage_error_20,confidence_triage_error_20,sef_triage_error_30,confidence_triage_error_30
Wine,Random forest,13.0,0.14285714285714285,0.0,0.36363636363636365,0.0,0.36363636363636365,0.4281637426056564,0.982866397277913,0.5620158115064365,0.13157894736842105,0.05263157894736842,0.11764705882352941,0.0,0.06666666666666667,0.0
Wine,Gradient boosting,13.0,0.07142857142857142,0.0,0.18181818181818182,0.0,0.18181818181818182,0.3237550321204701,0.9982795818725424,0.6754998539950181,0.07894736842105263,0.02631578947368421,0.08823529411764706,0.0,0.0,0.0
Wine,Random forest,14.0,0.0,0.0,0.0,0.0,0.0,0.41538256596933243,0.9827891666978232,0.5738996201612059,0.0,0.0,0.0,0.0,0.0,0.0
Wine,Gradient boosting,14.0,0.0,0.0,0.0,0.0,0.0,0.3332304424245488,0.9919857781442429,0.6613729636566084,0.0,0.0,0.0,0.0,0.0,0.0
Wine,Random forest,15.0,0.0,0.0,0.0,0.0,0.0,0.3822322902316531,0.9872545411446462,0.6102902591285437,0.0,0.0,0.0,0.0,0.0,0.0
Wine,Gradient boosting,15.0,0.0,0.0,0.0,0.0,0.0,0.24167950108852784,0.9969854915024756,0.7564479024010857,0.0,0.0,0.0,0.0,0.0,0.0
Wine,Random forest,16.0,0.0,0.0,0.0,0.0,0.0,0.3306909872859363,0.992533338582984,0.6648667485933293,0.0,0.0,0.0,0.0,0.0,0.0
Wine,Gradient boosting,16.0,0.07142857142857142,0.0,0.2727272727272727,0.0,0.2727272727272727,0.2545720952698606,0.9905155713080767,0.7392057672021481,0.02631578947368421,0.0,0.0,0.0,0.0,0.0
Wine,Random forest,17.0,0.0,0.0,0.0,0.0,0.0,0.3163527564100896,0.9926560642184932,0.677865218507465,0.0,0.0,0.0,0.0,0.0,0.0
Wine,Gradient boosting,17.0,0.023809523809523808,0.0,0.09090909090909091,0.0,0.09090909090909091,0.22464980113989147,0.9972719913785455,0.772932198954494,0.02631578947368421,0.0,0.0,0.0,0.0,0.0
Wine,Random forest,18.0,0.07142857142857142,0.0,0.18181818181818182,0.0,0.18181818181818182,0.49526643866079434,0.9976753406174884,0.5032175548852402,0.07894736842105263,0.02631578947368421,0.058823529411764705,0.0,0.03333333333333333,0.0
Wine,Gradient boosting,18.0,0.047619047619047616,0.0,0.09090909090909091,0.0,0.09090909090909091,0.2866456605572911,0.9998532804918719,0.713327988911621,0.05263157894736842,0.0,0.029411764705882353,0.0,0.03333333333333333,0.0
Wine,Random forest,19.0,0.0,0.0,0.0,0.0,0.0,0.3318282412695124,0.9904748366942892,0.6616848762790876,0.0,0.0,0.0,0.0,0.0,0.0
Wine,Gradient boosting,19.0,0.0,0.0,0.0,0.0,0.0,0.24207173627797515,0.9948098513841478,0.7549043432879408,0.0,0.0,0.0,0.0,0.0,0.0
Breast cancer,Random forest,0.0,0.065,0.0,0.06,0.0,0.06,0.27976886942644724,0.9817304180882283,0.7086082662055085,0.06111111111111111,0.016666666666666666,0.06875,0.00625,0.05,0.007142857142857143
Breast cancer,Gradient boosting,0.0,0.045,0.0,0.02,0.0,0.02,0.351748705582402,0.9784289634711736,0.6380419219787692,0.05,0.011111111111111112,0.05,0.00625,0.05,0.007142857142857143
Breast cancer,Random forest,1.0,0.04,0.0,0.16,0.0,0.16,0.23861803136761522,0.9886573005427991,0.7533319554923836,0.016666666666666666,0.005555555555555556,0.0125,0.00625,0.0,0.007142857142857143
Breast cancer,Gradient boosting,1.0,0.035,0.0,0.12,0.0,0.12,0.28972953334560264,0.9913875161955885,0.7048851891114891,0.016666666666666666,0.011111111111111112,0.0125,0.00625,0.0,0.0
Breast cancer,Random forest,2.0,0.02,0.0,0.06,0.0,0.06,0.21440213439487224,0.9858452763631277,0.7755173442828813,0.011111111111111112,0.016666666666666666,0.00625,0.00625,0.0,0.0
Breast cancer,Gradient boosting,2.0,0.04,0.0,0.12,0.0,0.14,0.2753564770372618,0.9909712041764126,0.7194846979437008,0.016666666666666666,0.016666666666666666,0.0125,0.00625,0.007142857142857143,0.007142857142857143
Breast cancer,Random forest,3.0,0.04,0.02,0.06,0.02,0.08,0.26237874791039933,0.982680024506395,0.7259378887776446,0.03333333333333333,0.011111111111111112,0.0375,0.0125,0.014285714285714285,0.007142857142857143
Breast cancer,Gradient boosting,3.0,0.05,0.0,0.14,0.0,0.14,0.29043203821145835,0.9886762021330093,0.7026466271790178,0.03888888888888889,0.022222222222222223,0.01875,0.01875,0.014285714285714285,0.0
Breast cancer,Random forest,4.0,0.055,0.0,0.06,0.0,0.08,0.3156467837371567,0.9824255559103549,0.675185525807144,0.05,0.03333333333333333,0.05,0.0125,0.04285714285714286,0.007142857142857143
Breast cancer,Gradient boosting,4.0,0.04,0.0,0.12,0.0,0.12,0.3265495359670213,0.9868666542220845,0.6677620492467525,0.022222222222222223,0.022222222222222223,0.01875,0.0125,0.007142857142857143,0.0
