dataset,domain,seed,n,p_raw,categorical_share,minority_share,test_error,brier,high_confidence_n,high_confidence_errors,base_conditional_auc,augmented_conditional_auc,delta_conditional_auc,conflict_error_auc,entropy_error_auc,low_confidence_error_auc,mass_error_auc,monotone_statistic,monotone_p_value,conflict_error_gap,diagnostic_eligible,diagnostic_pass,attribution_seconds,sef_seconds,rows_per_second
Heart disease,Healthcare,11,270,13,0.0,0.4444444444444444,0.17894736842105263,0.13390628893854323,48,5,0.6372093023255815,0.627906976744186,-0.009302325581395432,0.7441860465116279,0.613953488372093,0.7488372093023257,0.4558139534883721,0.07895174259998046,0.042,0.16666666666666666,0.0,,0.009428599965758622,9.640003554522991e-05,9973.753279474615
Heart disease,Healthcare,12,270,13,0.0,0.4444444444444444,0.16842105263157894,0.12040745294198074,48,4,0.8636363636363636,0.8352272727272727,-0.02840909090909094,0.7954545454545454,0.28977272727272724,0.8352272727272726,0.5,0.07819982124188542,0.034,0.16666666666666666,0.0,,0.01075640000635758,7.050001295283437e-05,8774.441421880862
Heart disease,Healthcare,13,270,13,0.0,0.4444444444444444,0.21052631578947367,0.15756396601956246,48,5,0.4,0.6186046511627907,0.2186046511627907,0.7534883720930232,0.413953488372093,0.627906976744186,0.6883720930232559,0.08195942803236068,0.032,0.25,0.0,,0.01327809999929741,0.00015429995255544782,7072.45170933849
Heart disease,Healthcare,14,270,13,0.0,0.4444444444444444,0.16842105263157894,0.12439033050023053,48,3,0.8518518518518519,0.8518518518518519,0.0,0.7851851851851852,0.6074074074074074,0.9037037037037037,0.33333333333333337,0.057897944573319,0.068,0.08333333333333333,0.0,,0.015210399986244738,0.0001707999617792666,6176.371175267407
Blood transfusion,Healthcare,0,748,4,0.0,0.23796791443850268,0.35877862595419846,0.20832708282467652,132,23,0.6120861587554847,0.6196649381731154,0.007578779417630743,0.4860390905464699,0.511168727562824,0.6483845233346629,0.4896290386916633,-0.007044579101781996,0.56,-0.10526315789473684,1.0,0.0,0.00992369995219633,0.0001689000055193901,25959.61408335648
Blood transfusion,Healthcare,1,748,4,0.0,0.23796791443850268,0.3244274809160305,0.19891238676305925,131,27,0.6355056980056979,0.6152065527065527,-0.020299145299145227,0.5601851851851851,0.5838675213675214,0.692485754985755,0.4866452991452991,0.03505039080892475,0.16,0.0890538033395176,1.0,0.0,0.01126469997689128,6.320001557469368e-05,23128.735261986116
Blood transfusion,Healthcare,2,748,4,0.0,0.23796791443850268,0.31679389312977096,0.18964123888835616,131,21,0.6924242424242424,0.6577922077922078,-0.03463203463203457,0.635064935064935,0.716017316017316,0.7082251082251082,0.5108225108225108,0.06398694849839853,0.022,0.12047302291204731,1.0,1.0,0.014093800040427595,0.00012260000221431255,18429.419488346866
Blood transfusion,Healthcare,3,748,4,0.0,0.23796791443850268,0.33969465648854963,0.21457036223505987,131,29,0.4344151453684922,0.41987829614604466,-0.014536849222447523,0.5238336713995944,0.5393847194050034,0.5721771467207573,0.5518931710615281,0.014359497655387849,0.324,0.035650623885918,1.0,0.0,0.01483990001725033,0.00010939995991066098,17525.90424971566
Blood transfusion,Healthcare,4,748,4,0.0,0.23796791443850268,0.3893129770992366,0.2163724222570353,131,28,0.6610610263522885,0.626733703190014,-0.03432732316227449,0.575242718446602,0.5471567267683772,0.6903606102635229,0.5253120665742025,0.04435813063459019,0.122,0.08851674641148324,1.0,0.0,0.009472400008235127,8.719996549189091e-05,27407.004552498405
Blood transfusion,Healthcare,5,748,4,0.0,0.23796791443850268,0.3320610687022901,0.20652232641842386,131,31,0.6464516129032258,0.6429032258064515,-0.003548387096774297,0.5753225806451613,0.5311290322580644,0.7020967741935484,0.4837096774193548,0.04793926954846448,0.09,0.09956709956709958,1.0,0.0,0.01123639999423176,7.209996692836285e-05,23168.41322013161
Blood transfusion,Healthcare,6,748,4,0.0,0.23796791443850268,0.3244274809160305,0.20702122720943783,135,36,0.8156565656565656,0.80331088664422,-0.012345679012345623,0.654601571268238,0.5896464646464645,0.8357182940516273,0.5688832772166106,0.10669930410607414,0.002,0.31100478468899523,1.0,1.0,0.013801999972201884,6.659998325631022e-05,18891.596905344868
Blood transfusion,Healthcare,7,748,4,0.0,0.23796791443850268,0.31297709923664124,0.19810670546073778,132,27,0.6964726631393299,0.6887125220458553,-0.00776014109347456,0.6285714285714286,0.6216931216931216,0.7169312169312169,0.5049382716049382,0.07300326753794859,0.026,0.1515151515151515,1.0,1.0,0.013218500011134893,7.660000119358301e-05,19706.508394600176
