dataset,seed,alpha,nominal_accepted_fraction,accepted_fraction,flagged_fraction,all_error,accepted_error,flagged_error,threshold
Wine,0.0,0.1,0.9,0.8611111111111112,0.1388888888888889,0.027777777777777776,0.03225806451612903,0.0,0.7365139691050246
Wine,1.0,0.1,0.9,0.9444444444444444,0.05555555555555555,0.05555555555555555,0.058823529411764705,0.0,0.803756968554267
Wine,2.0,0.1,0.9,1.0,0.0,0.05555555555555555,0.05555555555555555,,0.8686455691693776
Wine,3.0,0.1,0.9,1.0,0.0,0.027777777777777776,0.027777777777777776,,0.7699015177903439
Wine,4.0,0.1,0.9,0.9722222222222222,0.027777777777777776,0.027777777777777776,0.02857142857142857,0.0,0.7930946877658378
Wine,5.0,0.1,0.9,0.9722222222222222,0.027777777777777776,0.027777777777777776,0.02857142857142857,0.0,0.8020237112194958
Wine,6.0,0.1,0.9,0.9444444444444444,0.05555555555555555,0.0,0.0,0.0,0.7629553346057113
Wine,7.0,0.1,0.9,0.9722222222222222,0.027777777777777776,0.0,0.0,0.0,0.6317551303626349
Wine,8.0,0.1,0.9,0.9722222222222222,0.027777777777777776,0.027777777777777776,0.02857142857142857,0.0,0.8854709990564014
Wine,9.0,0.1,0.9,0.9722222222222222,0.027777777777777776,0.027777777777777776,0.02857142857142857,0.0,0.9199489250903623
Wine,10.0,0.1,0.9,1.0,0.0,0.05555555555555555,0.05555555555555555,,0.9901260354175919
Wine,11.0,0.1,0.9,0.7777777777777778,0.2222222222222222,0.05555555555555555,0.03571428571428571,0.125,0.6848297764249516
Wine,12.0,0.1,0.9,0.8333333333333334,0.16666666666666666,0.0,0.0,0.0,0.6283240489540404
Wine,13.0,0.1,0.9,0.9722222222222222,0.027777777777777776,0.08333333333333333,0.08571428571428572,0.0,0.9059457764916066
Wine,14.0,0.1,0.9,0.9444444444444444,0.05555555555555555,0.0,0.0,0.0,0.6555573959524278
Wine,15.0,0.1,0.9,1.0,0.0,0.027777777777777776,0.027777777777777776,,0.8917561009527312
Wine,16.0,0.1,0.9,0.9444444444444444,0.05555555555555555,0.027777777777777776,0.029411764705882353,0.0,0.7840642849306464
Wine,17.0,0.1,0.9,0.9722222222222222,0.027777777777777776,0.0,0.0,0.0,0.7548240424384783
Wine,18.0,0.1,0.9,0.9722222222222222,0.027777777777777776,0.027777777777777776,0.02857142857142857,0.0,0.9604206728870318
Wine,19.0,0.1,0.9,1.0,0.0,0.0,0.0,,0.9046388656183494
Wine,20.0,0.1,0.9,0.8888888888888888,0.1111111111111111,0.0,0.0,0.0,0.6033901598638709
Wine,21.0,0.1,0.9,1.0,0.0,0.0,0.0,,0.9506729599864618
Wine,22.0,0.1,0.9,0.9722222222222222,0.027777777777777776,0.027777777777777776,0.02857142857142857,0.0,0.8281033764820993
Wine,23.0,0.1,0.9,0.8888888888888888,0.1111111111111111,0.0,0.0,0.0,0.6085820214369191
Wine,24.0,0.1,0.9,0.8333333333333334,0.16666666666666666,0.05555555555555555,0.03333333333333333,0.16666666666666666,0.6590324555118221
Wine,25.0,0.1,0.9,0.9444444444444444,0.05555555555555555,0.027777777777777776,0.029411764705882353,0.0,0.6247380581910839
Wine,26.0,0.1,0.9,0.9166666666666666,0.08333333333333333,0.027777777777777776,0.030303030303030304,0.0,0.7347648618711154
Wine,27.0,0.1,0.9,0.9444444444444444,0.05555555555555555,0.05555555555555555,0.058823529411764705,0.0,0.8598423908284539
Wine,28.0,0.1,0.9,0.9444444444444444,0.05555555555555555,0.027777777777777776,0.029411764705882353,0.0,0.7541263916523793
Wine,29.0,0.1,0.9,1.0,0.0,0.05555555555555555,0.05555555555555555,,0.9483490104161947
Wine,30.0,0.1,0.9,0.8055555555555556,0.19444444444444445,0.027777777777777776,0.0,0.14285714285714285,0.5912329947753477
Wine,31.0,0.1,0.9,0.9722222222222222,0.027777777777777776,0.0,0.0,0.0,0.7117537939536533
Wine,32.0,0.1,0.9,0.9722222222222222,0.027777777777777776,0.08333333333333333,0.08571428571428572,0.0,0.8481732882771875
Wine,33.0,0.1,0.9,1.0,0.0,0.027777777777777776,0.027777777777777776,,0.8049335704426459
Wine,34.0,0.1,0.9,0.9444444444444444,0.05555555555555555,0.05555555555555555,0.058823529411764705,0.0,0.7181743901519917
Wine,35.0,0.1,0.9,1.0,0.0,0.027777777777777776,0.027777777777777776,,0.779162503260065
Wine,36.0,0.1,0.9,0.9166666666666666,0.08333333333333333,0.027777777777777776,0.030303030303030304,0.0,0.674076334665792
Wine,37.0,0.1,0.9,1.0,0.0,0.05555555555555555,0.05555555555555555,,0.9002206832100863
Wine,38.0,0.1,0.9,0.9166666666666666,0.08333333333333333,0.0,0.0,0.0,0.8462115827487765
Wine,39.0,0.1,0.9,0.9722222222222222,0.027777777777777776,0.08333333333333333,0.08571428571428572,0.0,0.9106679335415606
Wine,40.0,0.1,0.9,0.9722222222222222,0.027777777777777776,0.027777777777777776,0.02857142857142857,0.0,0.7531644034135128
Wine,41.0,0.1,0.9,1.0,0.0,0.05555555555555555,0.05555555555555555,,0.8578142502670931
Wine,42.0,0.1,0.9,0.9722222222222222,0.027777777777777776,0.1111111111111111,0.11428571428571428,0.0,0.9886525033469262
Wine,43.0,0.1,0.9,0.9166666666666666,0.08333333333333333,0.05555555555555555,0.06060606060606061,0.0,0.73011289691075
Wine,44.0,0.1,0.9,0.8888888888888888,0.1111111111111111,0.0,0.0,0.0,0.7425157910497259
Wine,45.0,0.1,0.9,0.9722222222222222,0.027777777777777776,0.027777777777777776,0.02857142857142857,0.0,0.7642440201425611
Wine,46.0,0.1,0.9,0.9722222222222222,0.027777777777777776,0.0,0.0,0.0,0.9277486018164987
Wine,47.0,0.1,0.9,0.8888888888888888,0.1111111111111111,0.0,0.0,0.0,0.7594202413000187
Wine,48.0,0.1,0.9,0.9444444444444444,0.05555555555555555,0.0,0.0,0.0,0.7045587843807718
Wine,49.0,0.1,0.9,1.0,0.0,0.0,0.0,,0.8137701148337377
