dataset,openml_name,openml_version,seed,n,p_raw,test_error,auc,high_confidence_error,high_confidence_low_conflict_error,high_confidence_high_conflict_error,gap,mean_conflict
Heart disease,heart-statlog,1,40,270,13,0.14736842105263157,0.89937106918239,0.125,0.0,0.16666666666666666,0.16666666666666666,0.5855237884484324
Heart disease,heart-statlog,1,41,270,13,0.17894736842105263,0.9209344115004492,0.041666666666666664,0.0,0.0,0.0,0.5375851095906944
Heart disease,heart-statlog,1,42,270,13,0.12631578947368421,0.9168912848158132,0.10416666666666667,0.16666666666666666,0.25,0.08333333333333334,0.5252176401717622
Heart disease,heart-statlog,1,43,270,13,0.18947368421052632,0.8683737646001796,0.10416666666666667,0.08333333333333333,0.08333333333333333,0.0,0.5190145414079944
Heart disease,heart-statlog,1,44,270,13,0.2,0.8679245283018868,0.10416666666666667,0.0,0.08333333333333333,0.08333333333333333,0.5805882128283846
Heart disease,heart-statlog,1,45,270,13,0.10526315789473684,0.9299191374663073,0.041666666666666664,0.0,0.08333333333333333,0.08333333333333333,0.560156552619542
Heart disease,heart-statlog,1,46,270,13,0.15789473684210525,0.8998203054806828,0.0625,0.0,0.0,0.0,0.5427293950481771
Heart disease,heart-statlog,1,47,270,13,0.14736842105263157,0.940251572327044,0.020833333333333332,0.0,0.0,0.0,0.5421093028480878
Heart disease,heart-statlog,1,48,270,13,0.24210526315789474,0.8418688230008984,0.14583333333333334,0.0,0.5,0.5,0.5673823652569671
Heart disease,heart-statlog,1,49,270,13,0.18947368421052632,0.894429469901168,0.0625,0.0,0.16666666666666666,0.16666666666666666,0.545015253545085
Blood transfusion,blood-transfusion-service-center,1,0,748,4,0.35877862595419846,0.7324193548387097,0.17424242424242425,0.21052631578947367,0.10526315789473684,-0.10526315789473684,0.39772895513131995
Blood transfusion,blood-transfusion-service-center,1,1,748,4,0.3244274809160305,0.7689112903225807,0.20610687022900764,0.1836734693877551,0.2727272727272727,0.0890538033395176,0.41464575733787207
Blood transfusion,blood-transfusion-service-center,1,2,748,4,0.31679389312977096,0.7859274193548388,0.16030534351145037,0.12195121951219512,0.24242424242424243,0.12047302291204731,0.39162747887535715
