dataset,openml_name,openml_version,seed,method,top_quartile_error,error_auc,mean_score
Diabetes,diabetes,1,34,SEF conflict,0.20588235294117646,0.6166666666666667,0.25035775362629176
Diabetes,diabetes,1,34,Attribution entropy,0.17647058823529413,0.5716666666666667,0.6835326638407792
Diabetes,diabetes,1,34,Attribution Gini spread,0.17647058823529413,0.5683333333333334,0.6678554993550289
Diabetes,diabetes,1,34,Low confidence,0.11764705882352941,0.5,0.13004572841031709
Diabetes,diabetes,1,34,SEF-entropy rank correlation,0.04377621695444347,,
Diabetes,diabetes,1,35,SEF conflict,0.14705882352941177,0.5555555555555556,0.2760977125785397
Diabetes,diabetes,1,35,Attribution entropy,0.17647058823529413,0.4952516619183286,0.7120921901387932
Diabetes,diabetes,1,35,Attribution Gini spread,0.20588235294117646,0.4672364672364672,0.6939274927417713
Diabetes,diabetes,1,35,Low confidence,0.20588235294117646,0.603988603988604,0.11121432483844099
Diabetes,diabetes,1,35,SEF-entropy rank correlation,0.07609013754755635,,
Diabetes,diabetes,1,36,SEF conflict,0.17647058823529413,0.6079854809437386,0.2867244935746814
Diabetes,diabetes,1,36,Attribution entropy,0.23529411764705882,0.6302177858439201,0.725448354445586
Diabetes,diabetes,1,36,Attribution Gini spread,0.20588235294117646,0.6220508166969148,0.6943427526387042
Diabetes,diabetes,1,36,Low confidence,0.14705882352941177,0.6011796733212341,0.13165446981306222
Diabetes,diabetes,1,36,SEF-entropy rank correlation,0.26967256693602876,,
Diabetes,diabetes,1,37,SEF conflict,0.23529411764705882,0.6821739130434783,0.27298395947447673
Diabetes,diabetes,1,37,Attribution entropy,0.17647058823529413,0.47391304347826085,0.677990692491846
Diabetes,diabetes,1,37,Attribution Gini spread,0.11764705882352941,0.45130434782608686,0.6648325011225368
Diabetes,diabetes,1,37,Low confidence,0.23529411764705882,0.6160869565217391,0.1441403359292928
Diabetes,diabetes,1,37,SEF-entropy rank correlation,0.23191911998739317,,
Diabetes,diabetes,1,38,SEF conflict,0.20588235294117646,0.6588021778584392,0.23225311375840288
Diabetes,diabetes,1,38,Attribution entropy,0.20588235294117646,0.5149727767695099,0.718992073441093
Diabetes,diabetes,1,38,Attribution Gini spread,0.20588235294117646,0.5199637023593466,0.7067879178669418
Diabetes,diabetes,1,38,Low confidence,0.2647058823529412,0.5281306715063522,0.097326460880576
Diabetes,diabetes,1,38,SEF-entropy rank correlation,0.11285240464344944,,
Diabetes,diabetes,1,39,SEF conflict,0.17647058823529413,0.6594444444444444,0.2568346752042326
Diabetes,diabetes,1,39,Attribution entropy,0.058823529411764705,0.4472222222222223,0.7413726971399252
Diabetes,diabetes,1,39,Attribution Gini spread,0.058823529411764705,0.44611111111111107,0.7174948689399824
Diabetes,diabetes,1,39,Low confidence,0.14705882352941177,0.4538888888888889,0.11607576811601157
Diabetes,diabetes,1,39,SEF-entropy rank correlation,0.0613160439421536,,
Diabetes,diabetes,1,40,SEF conflict,0.17647058823529413,0.6669990029910269,0.27848187252082585
Diabetes,diabetes,1,40,Attribution entropy,0.11764705882352941,0.5388833499501495,0.7392486294285776
Diabetes,diabetes,1,40,Attribution Gini spread,0.11764705882352941,0.5129611166500498,0.7089326445979716
Diabetes,diabetes,1,40,Low confidence,0.23529411764705882,0.6146560319042871,0.1346095341305293
Diabetes,diabetes,1,40,SEF-entropy rank correlation,0.15008291873963517,,
Diabetes,diabetes,1,41,SEF conflict,0.2647058823529412,0.6777950310559007,0.31298467465729574
Diabetes,diabetes,1,41,Attribution entropy,0.17647058823529413,0.47787267080745344,0.7446474582688283
Diabetes,diabetes,1,41,Attribution Gini spread,0.17647058823529413,0.4557453416149068,0.7022352893181171
Diabetes,diabetes,1,41,Low confidence,0.20588235294117646,0.5520186335403726,0.0902066004928974
Diabetes,diabetes,1,41,SEF-entropy rank correlation,0.1763340161935421,,
Diabetes,diabetes,1,42,SEF conflict,0.20588235294117646,0.6877777777777777,0.2609462642950371
Diabetes,diabetes,1,42,Attribution entropy,0.08823529411764706,0.4594444444444445,0.6775760835013329
Diabetes,diabetes,1,42,Attribution Gini spread,0.058823529411764705,0.4233333333333334,0.6685092193919885
